epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,90.7061,0.78544,1.16186,1.27066,0.69568,0.63333,0.85859,0.57613,1.57704,1.31026,1.40411,2.82082e-05,2.82082e-05,2.82082e-05
40,92.8279,0.94686,0.7072,1.37901,0.69568,0.63333,0.85859,0.57613,1.57704,1.31026,1.40411,2.84911e-05,2.84911e-05,2.84911e-05
41,95.055,0.70806,0.625,1.09502,0.68059,0.61667,0.88222,0.58214,1.57568,1.30496,1.3997,2.87504e-05,2.87504e-05,2.87504e-05
42,97.3588,0.8011,0.8928,1.20347,0.68059,0.61667,0.88222,0.58214,1.57568,1.30496,1.3997,2.89861e-05,2.89861e-05,2.89861e-05
43,99.6342,0.46549,1.28795,1.07775,0.68007,0.61667,0.8809,0.58874,1.58153,1.32018,1.39687,2.91983e-05,2.91983e-05,2.91983e-05
44,101.88,0.72718,0.70107,1.1726,0.68007,0.61667,0.8809,0.58874,1.58153,1.32018,1.39687,2.93869e-05,2.93869e-05,2.93869e-05
45,104.087,0.51287,0.55516,1.05217,0.67391,0.61667,0.93296,0.60953,1.60341,1.3305,1.40408,2.9552e-05,2.9552e-05,2.9552e-05
46,106.524,0.86128,0.68019,1.37538,0.67391,0.61667,0.93296,0.60953,1.60341,1.3305,1.40408,2.96935e-05,2.96935e-05,2.96935e-05
47,108.8,0.59983,0.61789,1.03192,0.7735,0.58333,0.93257,0.61426,1.61988,1.34639,1.405,2.98114e-05,2.98114e-05,2.98114e-05
48,111.078,0.55718,0.57706,1.05249,0.7735,0.58333,0.93257,0.61426,1.61988,1.34639,1.405,2.99058e-05,2.99058e-05,2.99058e-05
49,113.494,0.92591,0.63849,1.26153,0.78865,0.58333,0.93222,0.61409,1.63448,1.36225,1.4018,2.99766e-05,2.99766e-05,2.99766e-05
50,115.754,0.74402,0.51737,1.14877,0.78865,0.58333,0.93222,0.61409,1.63448,1.36225,1.4018,3.00238e-05,3.00238e-05,3.00238e-05
51,117.923,0.67477,0.56164,1.11374,0.79831,0.58333,0.93397,0.60929,1.65227,1.37739,1.41152,3.00475e-05,3.00475e-05,3.00475e-05
52,120.174,0.5517,0.41747,1.03326,0.79831,0.58333,0.93397,0.60929,1.65227,1.37739,1.41152,3.00476e-05,3.00476e-05,3.00476e-05
53,122.646,0.61328,0.44429,1.1434,0.79831,0.58333,0.93397,0.60929,1.65227,1.37739,1.41152,3.00242e-05,3.00242e-05,3.00242e-05
54,124.921,0.70357,0.72102,1.22285,0.80368,0.5713,0.90553,0.58973,1.64917,1.38561,1.40985,2.99772e-05,2.99772e-05,2.99772e-05
55,127.117,0.66642,0.54644,1.0258,0.80368,0.5713,0.90553,0.58973,1.64917,1.38561,1.40985,2.99066e-05,2.99066e-05,2.99066e-05
56,129.233,0.70641,0.70076,1.05929,0.80368,0.5713,0.90553,0.58973,1.64917,1.38561,1.40985,2.98125e-05,2.98125e-05,2.98125e-05
57,131.476,0.56182,0.48296,1.01633,0.81795,0.56667,0.93167,0.61113,1.63815,1.39248,1.40047,2.96948e-05,2.96948e-05,2.96948e-05
58,133.589,0.58958,0.48993,1.08522,0.81795,0.56667,0.93167,0.61113,1.63815,1.39248,1.40047,2.95535e-05,2.95535e-05,2.95535e-05
59,135.772,0.68561,0.43007,1.10864,0.81795,0.56667,0.93167,0.61113,1.63815,1.39248,1.40047,2.93887e-05,2.93887e-05,2.93887e-05
60,138.148,0.77605,0.65295,1.23621,0.82051,0.56667,0.90309,0.60446,1.62458,1.40506,1.38658,2.92003e-05,2.92003e-05,2.92003e-05
61,140.403,0.47706,0.54246,1.01731,0.82051,0.56667,0.90309,0.60446,1.62458,1.40506,1.38658,2.89884e-05,2.89884e-05,2.89884e-05
62,142.511,0.62364,0.4292,1.13375,0.82051,0.56667,0.90309,0.60446,1.62458,1.40506,1.38658,2.87529e-05,2.87529e-05,2.87529e-05
63,144.783,1.00985,0.67037,1.53886,0.81766,0.56667,0.87476,0.5865,1.62556,1.44166,1.38263,2.84938e-05,2.84938e-05,2.84938e-05
64,146.956,0.65677,0.55401,1.04923,0.81766,0.56667,0.87476,0.5865,1.62556,1.44166,1.38263,2.82112e-05,2.82112e-05,2.82112e-05
65,149.18,0.69226,0.48793,1.07383,0.81766,0.56667,0.87476,0.5865,1.62556,1.44166,1.38263,2.7905e-05,2.7905e-05,2.7905e-05
66,151.514,0.56437,0.43622,1.10685,0.8386,0.56667,0.82092,0.5104,1.65201,1.49894,1.39996,2.75753e-05,2.75753e-05,2.75753e-05
67,153.729,0.57404,0.46166,0.98026,0.8386,0.56667,0.82092,0.5104,1.65201,1.49894,1.39996,2.7222e-05,2.7222e-05,2.7222e-05
68,155.832,0.64219,0.609,1.10532,0.8386,0.56667,0.82092,0.5104,1.65201,1.49894,1.39996,2.68451e-05,2.68451e-05,2.68451e-05
69,157.952,0.60125,0.54811,1.08654,0.82491,0.56667,0.90074,0.58495,1.63806,1.52203,1.38855,2.64447e-05,2.64447e-05,2.64447e-05
70,160.025,0.74253,0.82468,1.11544,0.82491,0.56667,0.90074,0.58495,1.63806,1.52203,1.38855,2.60207e-05,2.60207e-05,2.60207e-05
71,162.087,0.44205,0.38846,0.92538,0.82491,0.56667,0.90074,0.58495,1.63806,1.52203,1.38855,2.55731e-05,2.55731e-05,2.55731e-05
72,164.175,0.55946,0.3696,0.93572,0.88636,0.54626,0.81714,0.5095,1.65304,1.54858,1.40105,2.5102e-05,2.5102e-05,2.5102e-05
73,166.215,0.55173,0.55142,1.04418,0.88636,0.54626,0.81714,0.5095,1.65304,1.54858,1.40105,2.46073e-05,2.46073e-05,2.46073e-05
74,168.411,0.63613,0.5483,1.05495,0.88636,0.54626,0.81714,0.5095,1.65304,1.54858,1.40105,2.40891e-05,2.40891e-05,2.40891e-05
75,170.534,0.75078,0.58437,1.27992,0.88049,0.5534,0.90024,0.58418,1.64394,1.57873,1.40177,2.35472e-05,2.35472e-05,2.35472e-05
76,172.575,0.55834,0.45033,1.01823,0.88049,0.5534,0.90024,0.58418,1.64394,1.57873,1.40177,2.29819e-05,2.29819e-05,2.29819e-05
77,175.135,0.55336,0.51311,1.07126,0.88049,0.5534,0.90024,0.58418,1.64394,1.57873,1.40177,2.23929e-05,2.23929e-05,2.23929e-05
78,177.395,0.73121,0.76563,1.16922,0.86037,0.5587,0.89981,0.58182,1.66903,1.60913,1.41011,2.17805e-05,2.17805e-05,2.17805e-05
79,179.427,0.49164,0.46886,0.97661,0.86037,0.5587,0.89981,0.58182,1.66903,1.60913,1.41011,2.11444e-05,2.11444e-05,2.11444e-05
80,181.72,0.63807,0.42067,1.00546,0.86037,0.5587,0.89981,0.58182,1.66903,1.60913,1.41011,2.04848e-05,2.04848e-05,2.04848e-05
81,184.065,0.64036,0.53498,1.1594,0.81668,0.55,0.89371,0.57903,1.65943,1.61689,1.41544,1.98016e-05,1.98016e-05,1.98016e-05
82,186.258,0.44421,0.33442,0.95562,0.81668,0.55,0.89371,0.57903,1.65943,1.61689,1.41544,1.90949e-05,1.90949e-05,1.90949e-05
83,188.385,0.52592,0.47124,1.06243,0.81668,0.55,0.89371,0.57903,1.65943,1.61689,1.41544,1.83646e-05,1.83646e-05,1.83646e-05
84,190.532,0.35249,0.31922,0.93,0.74986,0.55245,0.81048,0.50809,1.65763,1.62584,1.41987,1.76107e-05,1.76107e-05,1.76107e-05
85,192.619,0.5352,0.50172,0.9956,0.74986,0.55245,0.81048,0.50809,1.65763,1.62584,1.41987,1.68333e-05,1.68333e-05,1.68333e-05
86,194.694,0.81291,0.65982,1.30548,0.74986,0.55245,0.81048,0.50809,1.65763,1.62584,1.41987,1.60323e-05,1.60323e-05,1.60323e-05
87,196.78,0.77637,0.68286,1.19781,0.74986,0.55245,0.81048,0.50809,1.65763,1.62584,1.41987,1.52077e-05,1.52077e-05,1.52077e-05
88,201.592,0.51481,0.3865,1.07364,0.74855,0.5683,0.81033,0.51712,1.65707,1.64476,1.42165,1.43596e-05,1.43596e-05,1.43596e-05
89,205.542,0.6668,0.56168,1.09567,0.74855,0.5683,0.81033,0.51712,1.65707,1.64476,1.42165,1.34879e-05,1.34879e-05,1.34879e-05
90,209.855,0.56235,0.54658,0.97954,0.74855,0.5683,0.81033,0.51712,1.65707,1.64476,1.42165,1.25927e-05,1.25927e-05,1.25927e-05
91,213.822,0.39233,0.30617,1.01375,0.74855,0.5683,0.81033,0.51712,1.65707,1.64476,1.42165,1.16739e-05,1.16739e-05,1.16739e-05
92,217.727,0.40919,0.38533,0.86452,0.75192,0.56389,0.89106,0.60673,1.63008,1.62936,1.40637,1.07315e-05,1.07315e-05,1.07315e-05
93,221.587,0.61585,0.43075,1.1667,0.75192,0.56389,0.89106,0.60673,1.63008,1.62936,1.40637,9.76562e-06,9.76562e-06,9.76562e-06
94,225.054,0.43975,0.36646,0.9731,0.75192,0.56389,0.89106,0.60673,1.63008,1.62936,1.40637,8.77613e-06,8.77613e-06,8.77613e-06
95,228.088,0.71194,0.44238,1.23748,0.75192,0.56389,0.89106,0.60673,1.63008,1.62936,1.40637,7.76308e-06,7.76308e-06,7.76308e-06
96,230.792,0.41157,0.35915,0.96324,0.71133,0.55,0.88881,0.62253,1.60309,1.64985,1.39667,6.72648e-06,6.72648e-06,6.72648e-06
97,233.837,0.38399,0.31194,0.90985,0.71133,0.55,0.88881,0.62253,1.60309,1.64985,1.39667,5.6663e-06,5.6663e-06,5.6663e-06
98,236.225,0.35626,0.28773,0.93958,0.71133,0.55,0.88881,0.62253,1.60309,1.64985,1.39667,4.58257e-06,4.58257e-06,4.58257e-06
99,240.401,0.43348,0.33625,0.88228,0.71133,0.55,0.88881,0.62253,1.60309,1.64985,1.39667,3.47528e-06,3.47528e-06,3.47528e-06
100,243.731,0.35296,0.33738,0.90097,0.71626,0.55,0.88663,0.63404,1.55723,1.59152,1.39123,2.34442e-06,2.34442e-06,2.34442e-06
