epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.00176,3.54634,6.99402,0.05992,0,0,0,0,3.55943,9.52722,0.03648,0,0,0
2,4.06594,3.5451,7.13019,0.05796,0,0,0,0,3.55865,9.52617,0.03647,9.5438e-07,9.5438e-07,9.5438e-07
3,6.1532,4.11421,10.1442,0.09914,0,0,0,0,3.55782,9.52433,0.03646,1.43752e-06,1.43752e-06,1.43752e-06
4,8.33621,4.76625,11.9271,0.12715,0,0,0,0,3.55698,9.52407,0.03645,1.44942e-06,1.44942e-06,1.44942e-06
5,10.4863,3.72415,7.56665,0.06562,0,0,0,0,3.55615,9.52366,0.03644,9.9008e-07,9.9008e-07,9.9008e-07
