Object,Material,Weight (g),Description,Dominant Frequency 1 (Hz),Dominant Frequency 2 (Hz),Dominant Frequency 3 (Hz),Intensity 1 (dB),Intensity 2 (dB),Intensity 3 (dB)
Metal Bowl,Stainless steel,247,"Upper Diameter : 20.32 cm, Lower Diameter : 10.16 cm, height : 8.89 cm  ",652,686.2,680,102.47,116.66,102.97
Metal Pot,Stainless steel,741,,1081.711,1085.46,1075.73,105.97,108.8,107.34
Mug #1,Ceramic,230,,3257.9,3079.76,3253.95,114.86,100.12,105.23
Mug #2,Ceramic,212,,3641.04,3185.78,2997.29,108.26,110.57,99.18
Glass Bottle,glass ,277,,192.38,232.12,424.13,102.8,95.7,98.51
Wine Glass,Glass,148,"lower diameter : 5.4 cm , upper diameter 6.35cm, height 17.15cm",7167.43,6454.33,1234.51,107.81,101.97,99.46
Ceramic Plate,Ceramic,217,,3216.115,4408.8,6010.41,107.112,99.26,103.03
